playlist,support,threshold,precision,recall,f1,tp,fp,tn,fn,fold
Riddim - Vocals,83,0.09666666512688,0.09116022099447514,0.39759036144578314,0.14831460674157304,33,329,822,50,aggregate
Riddim - Chill,140,0.17666666209697723,0.22702702702702704,0.3,0.25846153846153846,42,143,951,98,aggregate
Riddim - GWN/BT Style,61,0.07333333293596904,0.104,0.4262295081967213,0.16720257234726688,26,224,949,35,aggregate
Riddim - Wubz,63,0.09333333373069763,0.20238095238095238,0.2698412698412698,0.23129251700680273,17,67,1104,46,aggregate
Riddim - Medium,287,0.20000000298023224,0.32005494505494503,0.8118466898954704,0.4591133004926108,233,495,452,54,aggregate
Riddim - Womps,138,0.18666666249434152,0.23076923076923078,0.1956521739130435,0.21176470588235294,27,90,1006,111,aggregate
Riddim - Heavy,77,0.09000000109275182,0.17454545454545456,0.6233766233766234,0.27272727272727276,48,227,930,29,aggregate
Riddim - 4s,58,0.07999999945362408,0.14285714285714285,0.41379310344827586,0.21238938053097345,24,144,1032,34,aggregate
Riddim - 8s,20,0.5,0.0,0.0,0.0,0,0,1214,20,aggregate
Clubstep,26,0.5,0.0,0.0,0.0,0,0,1208,26,aggregate
Deadly Dubstep,73,0.0933333324889342,0.2024793388429752,0.6712328767123288,0.3111111111111111,49,193,968,24,aggregate
Dubstep,233,0.19333333025376,0.21400264200792601,0.6952789699570815,0.3272727272727272,162,595,406,71,aggregate
Funkstep,124,0.15333333114782968,0.2743362831858407,0.25,0.26160337552742613,31,82,1028,93,aggregate
Headbanger,167,0.24666666984558105,0.40458015267175573,0.31736526946107785,0.35570469798657717,53,78,989,114,aggregate
Jazzstep,103,0.13666666547457376,0.14367816091954022,0.24271844660194175,0.18050541516245489,25,149,982,78,aggregate
Metalstep,59,0.0933333324889342,0.12213740458015267,0.2711864406779661,0.16842105263157894,16,115,1060,43,aggregate
Wubzstep,306,0.2866666664679845,0.39285714285714285,0.6111111111111112,0.4782608695652174,187,289,639,119,aggregate
