playlist,support,threshold,precision,recall,f1,tp,fp,tn,fn,fold
Riddim - High Hat,20,0.07000000029802322,0.5454545454545454,0.3,0.3870967741935483,6,5,387,14,1
Riddim - Deep Dub,7,0.11999999731779099,1.0,0.14285714285714285,0.25,1,0,405,6,1
Riddim - Vocals,29,0.05000000074505806,0.07387862796833773,0.9655172413793104,0.13725490196078433,28,351,32,1,1
Riddim - Chill,44,0.11999999731779099,0.3333333333333333,0.36363636363636365,0.34782608695652173,16,32,336,28,1
Riddim - GWN/BT Style,19,0.07999999821186066,0.4117647058823529,0.3684210526315789,0.3888888888888889,7,10,383,12,1
Riddim - Wubz,23,0.05000000074505806,0.04854368932038835,0.43478260869565216,0.08733624454148471,10,196,193,13,1
Riddim - Medium,102,0.33000001311302185,0.4153846153846154,0.5294117647058824,0.4655172413793104,54,76,234,48,1
Riddim - Womps,46,0.11999999731779099,0.15714285714285714,0.4782608695652174,0.23655913978494622,22,118,248,24,1
Riddim - Heavy,29,0.14000000059604645,0.37037037037037035,0.3448275862068966,0.35714285714285715,10,17,366,19,1
Riddim - 4s,20,0.07999999821186066,0.23809523809523808,0.25,0.24390243902439024,5,16,376,15,1
Riddim - 8s,7,0.5,0.0,0.0,0.0,0,0,405,7,1
Clubstep,6,0.5,0.0,0.0,0.0,0,0,406,6,1
Deadly Dubstep,27,0.11999999731779099,0.1780821917808219,0.48148148148148145,0.26,13,60,325,14,1
Dubstep,71,0.23000000417232513,0.3050847457627119,0.5070422535211268,0.380952380952381,36,82,259,35,1
Funkstep,35,0.10000000149011612,0.15942028985507245,0.3142857142857143,0.21153846153846154,11,58,319,24,1
Headbanger,54,0.2800000011920929,0.35294117647058826,0.4444444444444444,0.39344262295081966,24,44,314,30,1
Jazzstep,25,0.10000000149011612,0.12962962962962962,0.28,0.17721518987341772,7,47,340,18,1
Metalstep,27,0.09000000357627869,0.0,0.0,0.0,0,2,383,27,1
Wubzstep,110,0.15000000596046448,0.3411371237458194,0.9272727272727272,0.4987775061124694,102,197,105,8,1
Riddim - High Hat,18,0.17000000178813934,0.5,0.1111111111111111,0.1818181818181818,2,2,391,16,2
Riddim - Deep Dub,16,0.10000000149011612,1.0,0.0625,0.11764705882352941,1,0,395,15,2
Riddim - Vocals,29,0.09000000357627869,0.04,0.034482758620689655,0.03703703703703704,1,24,358,28,2
Riddim - Chill,47,0.11999999731779099,0.16184971098265896,0.5957446808510638,0.2545454545454545,28,145,219,19,2
Riddim - GWN/BT Style,23,0.05000000074505806,0.09523809523809523,0.2608695652173913,0.13953488372093023,6,57,331,17,2
Riddim - Wubz,20,0.10000000149011612,0.0,0.0,0.0,0,3,388,20,2
Riddim - Medium,97,0.18000000715255737,0.36627906976744184,0.6494845360824743,0.4684014869888475,63,109,205,34,2
Riddim - Womps,45,0.10999999940395355,0.16666666666666666,0.6888888888888889,0.2683982683982684,31,155,211,14,2
Riddim - Heavy,26,0.07000000029802322,0.28846153846153844,0.5769230769230769,0.3846153846153846,15,37,348,11,2
Riddim - 4s,19,0.5,0.0,0.0,0.0,0,0,392,19,2
Riddim - 8s,3,0.5,0.0,0.0,0.0,0,0,408,3,2
Clubstep,9,0.5,0.0,0.0,0.0,0,0,402,9,2
Deadly Dubstep,27,0.05000000074505806,0.21794871794871795,0.6296296296296297,0.32380952380952377,17,61,323,10,2
Dubstep,84,0.25999999046325684,0.3181818181818182,0.25,0.28,21,45,282,63,2
Funkstep,44,0.15000000596046448,0.36363636363636365,0.18181818181818182,0.24242424242424246,8,14,353,36,2
Headbanger,58,0.12999999523162842,0.336734693877551,0.5689655172413793,0.42307692307692313,33,65,288,25,2
Jazzstep,38,0.10999999940395355,0.16176470588235295,0.5789473684210527,0.25287356321839083,22,114,259,16,2
Metalstep,18,0.09000000357627869,0.26666666666666666,0.2222222222222222,0.2424242424242424,4,11,382,14,2
Wubzstep,100,0.36000001430511475,0.4161073825503356,0.62,0.497991967871486,62,87,224,38,2
Riddim - High Hat,18,0.5,0.0,0.0,0.0,0,0,393,18,3
Riddim - Deep Dub,18,0.5,0.0,0.0,0.0,0,0,393,18,3
Riddim - Vocals,25,0.09000000357627869,0.08,0.08,0.08,2,23,363,23,3
Riddim - Chill,49,0.09000000357627869,0.1796116504854369,0.7551020408163265,0.2901960784313725,37,169,193,12,3
Riddim - GWN/BT Style,19,0.07999999821186066,0.35714285714285715,0.5263157894736842,0.425531914893617,10,18,374,9,3
Riddim - Wubz,20,0.07999999821186066,0.35714285714285715,0.25,0.2941176470588235,5,9,382,15,3
Riddim - Medium,88,0.3400000035762787,0.34415584415584416,0.6022727272727273,0.4380165289256199,53,101,222,35,3
Riddim - Womps,47,0.1899999976158142,0.375,0.06382978723404255,0.1090909090909091,3,5,359,44,3
Riddim - Heavy,22,0.17000000178813934,0.13333333333333333,0.18181818181818182,0.15384615384615383,4,26,363,18,3
Riddim - 4s,19,0.05999999865889549,0.16666666666666666,0.2631578947368421,0.2040816326530612,5,25,367,14,3
Riddim - 8s,10,0.5,0.0,0.0,0.0,0,0,401,10,3
Clubstep,11,0.5,0.0,0.0,0.0,0,0,400,11,3
Deadly Dubstep,19,0.09000000357627869,0.07537688442211055,0.7894736842105263,0.13761467889908255,15,184,208,4,3
Dubstep,78,0.14000000059604645,0.2323943661971831,0.8461538461538461,0.3646408839779005,66,218,115,12,3
Funkstep,45,0.14000000059604645,0.4444444444444444,0.35555555555555557,0.3950617283950617,16,20,346,29,3
Headbanger,55,0.3400000035762787,0.4634146341463415,0.34545454545454546,0.39583333333333337,19,22,334,36,3
Jazzstep,40,0.07999999821186066,0.18867924528301888,0.5,0.27397260273972607,20,86,285,20,3
Metalstep,14,0.07999999821186066,0.1038961038961039,0.5714285714285714,0.17582417582417584,8,69,328,6,3
Wubzstep,96,0.20000000298023224,0.4108527131782946,0.5520833333333334,0.47111111111111115,53,76,239,43,3
Riddim - High Hat,56,0.2466666673620542,0.5333333333333333,0.14285714285714285,0.22535211267605632,8,7,1171,48,aggregate
Riddim - Deep Dub,41,0.2399999996026357,1.0,0.04878048780487805,0.09302325581395349,2,0,1193,39,aggregate
Riddim - Vocals,83,0.07666666929920514,0.07226107226107226,0.37349397590361444,0.12109374999999999,31,398,753,52,aggregate
Riddim - Chill,140,0.10999999940395355,0.18969555035128804,0.5785714285714286,0.2857142857142857,81,346,748,59,aggregate
Riddim - GWN/BT Style,61,0.0699999990562598,0.21296296296296297,0.3770491803278688,0.272189349112426,23,85,1088,38,aggregate
Riddim - Wubz,63,0.07666666681567828,0.06726457399103139,0.23809523809523808,0.10489510489510488,15,208,963,48,aggregate
Riddim - Medium,287,0.2833333412806193,0.37280701754385964,0.5923344947735192,0.45760430686406467,170,286,661,117,aggregate
Riddim - Womps,138,0.1399999981125196,0.16766467065868262,0.4057971014492754,0.23728813559322032,56,278,818,82,aggregate
Riddim - Heavy,77,0.12666666756073633,0.26605504587155965,0.37662337662337664,0.31182795698924737,29,80,1077,48,aggregate
Riddim - 4s,58,0.21333333229025206,0.19607843137254902,0.1724137931034483,0.1834862385321101,10,41,1135,48,aggregate
Riddim - 8s,20,0.5,0.0,0.0,0.0,0,0,1214,20,aggregate
Clubstep,26,0.5,0.0,0.0,0.0,0,0,1208,26,aggregate
Deadly Dubstep,73,0.08666666721304257,0.12857142857142856,0.6164383561643836,0.21276595744680848,45,305,856,28,aggregate
Dubstep,233,0.20999999841054282,0.26282051282051283,0.5278969957081545,0.3509272467902996,123,345,656,110,aggregate
Funkstep,124,0.13000000268220901,0.2755905511811024,0.28225806451612906,0.27888446215139445,35,92,1018,89,aggregate
Headbanger,167,0.25,0.3671497584541063,0.4550898203592814,0.40641711229946526,76,131,936,91,aggregate
Jazzstep,103,0.09666666636864345,0.16554054054054054,0.47572815533980584,0.24561403508771928,49,247,884,54,aggregate
Metalstep,59,0.08666666845480601,0.1276595744680851,0.2033898305084746,0.15686274509803924,12,82,1093,47,aggregate
Wubzstep,306,0.23666667441527048,0.37608318890814557,0.7091503267973857,0.4915062287655719,217,360,568,89,aggregate
