playlist,support,threshold,precision,recall,f1,tp,fp,tn,fn,fold
Riddim - High Hat,20,0.09000000357627869,0.42857142857142855,0.3,0.3529411764705882,6,8,384,14,1
Riddim - Deep Dub,7,0.09000000357627869,0.2,0.2857142857142857,0.23529411764705882,2,8,397,5,1
Riddim - Vocals,29,0.05999999865889549,0.08074534161490683,0.4482758620689655,0.13684210526315788,13,148,235,16,1
Riddim - Chill,44,0.20000000298023224,0.34782608695652173,0.18181818181818182,0.2388059701492537,8,15,353,36,1
Riddim - GWN/BT Style,19,0.20999999344348907,1.0,0.05263157894736842,0.1,1,0,393,18,1
Riddim - Wubz,23,0.07000000029802322,0.14285714285714285,0.2608695652173913,0.1846153846153846,6,36,353,17,1
Riddim - Medium,102,0.20999999344348907,0.41911764705882354,0.5588235294117647,0.4789915966386555,57,79,231,45,1
Riddim - Womps,46,0.15000000596046448,0.2033898305084746,0.2608695652173913,0.2285714285714286,12,47,319,34,1
Riddim - Heavy,29,0.07999999821186066,0.3333333333333333,0.27586206896551724,0.3018867924528302,8,16,367,21,1
Riddim - 4s,20,0.5,0.0,0.0,0.0,0,0,392,20,1
Riddim - 8s,7,0.5,0.0,0.0,0.0,0,0,405,7,1
Clubstep,6,0.5,0.0,0.0,0.0,0,0,406,6,1
Deadly Dubstep,27,0.05000000074505806,0.1724137931034483,0.7407407407407407,0.27972027972027974,20,96,289,7,1
Dubstep,71,0.3400000035762787,0.39285714285714285,0.15492957746478872,0.22222222222222224,11,17,324,60,1
Funkstep,35,0.1599999964237213,0.1728395061728395,0.4,0.24137931034482757,14,67,310,21,1
Headbanger,54,0.1599999964237213,0.2911392405063291,0.42592592592592593,0.3458646616541353,23,56,302,31,1
Jazzstep,25,0.10000000149011612,0.07655502392344497,0.64,0.13675213675213677,16,193,194,9,1
Metalstep,27,0.07000000029802322,0.3,0.1111111111111111,0.16216216216216217,3,7,378,24,1
Wubzstep,110,0.2800000011920929,0.46564885496183206,0.5545454545454546,0.5062240663900415,61,70,232,49,1
Riddim - High Hat,18,0.23000000417232513,0.6666666666666666,0.1111111111111111,0.1904761904761905,2,1,392,16,2
Riddim - Deep Dub,16,0.05999999865889549,0.25,0.0625,0.1,1,3,392,15,2
Riddim - Vocals,29,0.11999999731779099,0.0,0.0,0.0,0,1,381,29,2
Riddim - Chill,47,0.11999999731779099,0.20224719101123595,0.3829787234042553,0.26470588235294124,18,71,293,29,2
Riddim - GWN/BT Style,23,0.5,0.0,0.0,0.0,0,0,388,23,2
Riddim - Wubz,20,0.05999999865889549,0.0,0.0,0.0,0,24,367,20,2
Riddim - Medium,97,0.23000000417232513,0.35911602209944754,0.6701030927835051,0.4676258992805756,65,116,198,32,2
Riddim - Womps,45,0.10999999940395355,0.1282051282051282,0.3333333333333333,0.18518518518518517,15,102,264,30,2
Riddim - Heavy,26,0.07000000029802322,0.2608695652173913,0.6923076923076923,0.3789473684210526,18,51,334,8,2
Riddim - 4s,19,0.5,0.0,0.0,0.0,0,0,392,19,2
Riddim - 8s,3,0.5,0.0,0.0,0.0,0,0,408,3,2
Clubstep,9,0.5,0.0,0.0,0.0,0,0,402,9,2
Deadly Dubstep,27,0.05999999865889549,0.20652173913043478,0.7037037037037037,0.31932773109243695,19,73,311,8,2
Dubstep,84,0.20999999344348907,0.3125,0.47619047619047616,0.37735849056603776,40,88,239,44,2
Funkstep,44,0.09000000357627869,0.14772727272727273,0.29545454545454547,0.196969696969697,13,75,292,31,2
Headbanger,58,0.1599999964237213,0.3617021276595745,0.5862068965517241,0.4473684210526315,34,60,293,24,2
Jazzstep,38,0.09000000357627869,0.2153846153846154,0.3684210526315789,0.2718446601941748,14,51,322,24,2
Metalstep,18,0.5,0.0,0.0,0.0,0,0,393,18,2
Wubzstep,100,0.27000001072883606,0.46875,0.3,0.36585365853658536,30,34,277,70,2
Riddim - High Hat,18,0.5,0.0,0.0,0.0,0,0,393,18,3
Riddim - Deep Dub,18,0.5,0.0,0.0,0.0,0,0,393,18,3
Riddim - Vocals,25,0.09000000357627869,0.057971014492753624,0.32,0.09815950920245399,8,130,256,17,3
Riddim - Chill,49,0.07999999821186066,0.12096774193548387,0.9183673469387755,0.21377672209026127,45,327,35,4,3
Riddim - GWN/BT Style,19,0.09000000357627869,0.18181818181818182,0.42105263157894735,0.25396825396825395,8,36,356,11,3
Riddim - Wubz,20,0.05000000074505806,0.05102040816326531,0.75,0.09554140127388536,15,279,112,5,3
Riddim - Medium,88,0.18000000715255737,0.22702702702702704,0.9545454545454546,0.3668122270742359,84,286,37,4,3
Riddim - Womps,47,0.14000000059604645,0.11637931034482758,0.574468085106383,0.1935483870967742,27,205,159,20,3
Riddim - Heavy,22,0.07000000029802322,0.05687203791469194,0.5454545454545454,0.10300429184549355,12,199,190,10,3
Riddim - 4s,19,0.10999999940395355,0.0,0.0,0.0,0,3,389,19,3
Riddim - 8s,10,0.07000000029802322,0.0,0.0,0.0,0,2,399,10,3
Clubstep,11,0.5,0.0,0.0,0.0,0,0,400,11,3
Deadly Dubstep,19,0.09000000357627869,0.02127659574468085,0.05263157894736842,0.030303030303030304,1,46,346,18,3
Dubstep,78,0.17000000178813934,0.1820580474934037,0.8846153846153846,0.3019693654266959,69,310,23,9,3
Funkstep,45,0.10000000149011612,0.13247863247863248,0.6888888888888889,0.22222222222222224,31,203,163,14,3
Headbanger,55,0.10999999940395355,0.14516129032258066,0.9818181818181818,0.2529274004683841,54,318,38,1,3
Jazzstep,40,0.05999999865889549,0.09973045822102426,0.925,0.18004866180048662,37,334,37,3,3
Metalstep,14,0.07000000029802322,0.03676470588235294,0.35714285714285715,0.06666666666666667,5,131,266,9,3
Wubzstep,96,0.14000000059604645,0.24739583333333334,0.9895833333333334,0.3958333333333333,95,289,26,1,3
Riddim - High Hat,56,0.2733333359162013,0.47058823529411764,0.14285714285714285,0.2191780821917808,8,9,1169,48,aggregate
Riddim - Deep Dub,41,0.21666666741172472,0.21428571428571427,0.07317073170731707,0.1090909090909091,3,11,1182,38,aggregate
Riddim - Vocals,83,0.08999999985098839,0.07,0.25301204819277107,0.10966057441253264,21,279,872,62,aggregate
Riddim - Chill,140,0.13333333283662796,0.14669421487603307,0.5071428571428571,0.22756410256410256,71,413,681,69,aggregate
Riddim - GWN/BT Style,61,0.2666666656732559,0.2,0.14754098360655737,0.16981132075471697,9,36,1137,52,aggregate
Riddim - Wubz,63,0.05999999990065893,0.058333333333333334,0.3333333333333333,0.09929078014184398,21,339,832,42,aggregate
Riddim - Medium,287,0.20666666825612387,0.29985443959243085,0.7177700348432056,0.42299794661190965,206,481,466,81,aggregate
Riddim - Womps,138,0.13333333532015482,0.1323529411764706,0.391304347826087,0.1978021978021978,54,354,742,84,aggregate
Riddim - Heavy,77,0.07333333293596904,0.125,0.4935064935064935,0.19947506561679793,38,266,891,39,aggregate
Riddim - 4s,58,0.36999999980131787,0.0,0.0,0.0,0,3,1173,58,aggregate
Riddim - 8s,20,0.3566666667660077,0.0,0.0,0.0,0,2,1212,20,aggregate
Clubstep,26,0.5,0.0,0.0,0.0,0,0,1208,26,aggregate
Deadly Dubstep,73,0.06666666766007741,0.1568627450980392,0.547945205479452,0.24390243902439024,40,215,946,33,aggregate
Dubstep,233,0.2399999996026357,0.22429906542056074,0.5150214592274678,0.3125,120,415,586,113,aggregate
Funkstep,124,0.11666666716337204,0.14392059553349876,0.46774193548387094,0.22011385199240988,58,345,765,66,aggregate
Headbanger,167,0.1433333307504654,0.2036697247706422,0.6646706586826348,0.31179775280898875,111,434,633,56,aggregate
Jazzstep,103,0.08333333457509677,0.10387596899224806,0.6504854368932039,0.179144385026738,67,578,553,36,aggregate
Metalstep,59,0.21333333353201547,0.0547945205479452,0.13559322033898305,0.07804878048780488,8,138,1037,51,aggregate
Wubzstep,306,0.23000000417232513,0.32124352331606215,0.6078431372549019,0.42033898305084744,186,393,535,120,aggregate
