playlist,support,threshold,precision,recall,f1,tp,fp,tn,fn,fold
Riddim - High Hat,7,0.5,0.75,0.42857142857142855,0.5454545454545454,3,1,115,4,validation
Riddim - Deep Dub,2,0.5,0.0,0.0,0.0,0,2,119,2,validation
Riddim - Vocals,10,0.5,0.0,0.0,0.0,0,0,113,10,validation
Riddim - Chill,12,0.5,1.0,0.16666666666666666,0.2857142857142857,2,0,111,10,validation
Riddim - GWN/BT Style,4,0.5,1.0,0.5,0.6666666666666666,2,0,119,2,validation
Riddim - Wubz,2,0.5,0.0,0.0,0.0,0,0,121,2,validation
Riddim - Medium,25,0.5,0.0,0.0,0.0,0,1,97,25,validation
Riddim - Womps,12,0.5,1.0,0.08333333333333333,0.15384615384615385,1,0,111,11,validation
Riddim - Heavy,5,0.5,0.0,0.0,0.0,0,0,118,5,validation
Riddim - 4s,7,0.5,0.0,0.0,0.0,0,0,116,7,validation
Riddim - 8s,2,0.5,0.0,0.0,0.0,0,0,121,2,validation
Clubstep,3,0.5,0.0,0.0,0.0,0,0,120,3,validation
Deadly Dubstep,4,0.5,0.0,0.0,0.0,0,0,119,4,validation
Dubstep,27,0.5,0.0,0.0,0.0,0,1,95,27,validation
Funkstep,14,0.5,1.0,0.07142857142857142,0.13333333333333333,1,0,109,13,validation
Headbanger,12,0.5,0.0,0.0,0.0,0,0,111,12,validation
Jazzstep,13,0.5,0.0,0.0,0.0,0,0,110,13,validation
Metalstep,3,0.5,0.0,0.0,0.0,0,0,120,3,validation
Wubzstep,36,0.5,0.6551724137931034,0.5277777777777778,0.5846153846153845,19,10,77,17,validation
Riddim - High Hat,3,0.5,0.5,0.3333333333333333,0.4,1,1,120,2,test
Riddim - Deep Dub,5,0.5,0.5,0.2,0.28571428571428575,1,1,118,4,test
Riddim - Vocals,8,0.5,0.0,0.0,0.0,0,0,116,8,test
Riddim - Chill,11,0.5,0.75,0.2727272727272727,0.39999999999999997,3,1,112,8,test
Riddim - GWN/BT Style,4,0.5,1.0,0.25,0.4,1,0,120,3,test
Riddim - Wubz,6,0.5,0.0,0.0,0.0,0,0,118,6,test
Riddim - Medium,28,0.5,0.0,0.0,0.0,0,0,96,28,test
Riddim - Womps,22,0.5,1.0,0.045454545454545456,0.08695652173913045,1,0,102,21,test
Riddim - Heavy,6,0.5,0.0,0.0,0.0,0,0,118,6,test
Riddim - 4s,12,0.5,0.0,0.0,0.0,0,0,112,12,test
Riddim - 8s,3,0.5,0.0,0.0,0.0,0,0,121,3,test
Clubstep,2,0.5,0.0,0.0,0.0,0,0,122,2,test
Deadly Dubstep,6,0.5,0.0,0.0,0.0,0,0,118,6,test
Dubstep,25,0.5,1.0,0.04,0.07692307692307693,1,0,99,24,test
Funkstep,8,0.5,1.0,0.125,0.2222222222222222,1,0,116,7,test
Headbanger,16,0.5,0.0,0.0,0.0,0,2,106,16,test
Jazzstep,15,0.5,1.0,0.06666666666666667,0.125,1,0,109,14,test
Metalstep,7,0.5,0.0,0.0,0.0,0,0,117,7,test
Wubzstep,29,0.5,0.5517241379310345,0.5517241379310345,0.5517241379310345,16,13,82,13,test
