playlist,support,threshold,precision,recall,f1,tp,fp,tn,fn,fold
Riddim - High Hat,4,0.5,1.0,0.25,0.4,1,0,119,3,validation
Riddim - Deep Dub,2,0.5,1.0,0.5,0.6666666666666666,1,0,121,1,validation
Riddim - Vocals,6,0.5,0.0,0.0,0.0,0,0,117,6,validation
Riddim - Chill,19,0.5,1.0,0.05263157894736842,0.1,1,0,104,18,validation
Riddim - GWN/BT Style,7,0.5,1.0,0.42857142857142855,0.6,3,0,116,4,validation
Riddim - Wubz,5,0.5,0.0,0.0,0.0,0,0,118,5,validation
Riddim - Medium,26,0.5,1.0,0.07692307692307693,0.14285714285714288,2,0,97,24,validation
Riddim - Womps,16,0.5,0.0,0.0,0.0,0,0,107,16,validation
Riddim - Heavy,5,0.5,0.0,0.0,0.0,0,0,118,5,validation
Riddim - 4s,1,0.5,0.0,0.0,0.0,0,0,122,1,validation
Riddim - 8s,0,0.5,0.0,0.0,0.0,0,0,123,0,validation
Clubstep,3,0.5,0.0,0.0,0.0,0,0,120,3,validation
Deadly Dubstep,4,0.5,0.0,0.0,0.0,0,0,119,4,validation
Dubstep,25,0.5,0.6666666666666666,0.16,0.25806451612903225,4,2,96,21,validation
Funkstep,15,0.5,0.75,0.2,0.31578947368421056,3,1,107,12,validation
Headbanger,15,0.5,1.0,0.06666666666666667,0.125,1,0,108,14,validation
Jazzstep,11,0.5,0.0,0.0,0.0,0,2,110,11,validation
Metalstep,5,0.5,0.0,0.0,0.0,0,0,118,5,validation
Wubzstep,28,0.5,0.4444444444444444,0.5714285714285714,0.5,16,20,75,12,validation
Riddim - High Hat,1,0.5,0.0,0.0,0.0,0,1,122,1,test
Riddim - Deep Dub,0,0.5,0.0,0.0,0.0,0,0,124,0,test
Riddim - Vocals,8,0.5,0.0,0.0,0.0,0,0,116,8,test
Riddim - Chill,13,0.5,1.0,0.15384615384615385,0.2666666666666667,2,0,111,11,test
Riddim - GWN/BT Style,5,0.5,0.5,0.2,0.28571428571428575,1,1,118,4,test
Riddim - Wubz,5,0.5,0.0,0.0,0.0,0,0,119,5,test
Riddim - Medium,26,0.5,0.0,0.0,0.0,0,1,97,26,test
Riddim - Womps,14,0.5,0.0,0.0,0.0,0,0,110,14,test
Riddim - Heavy,9,0.5,0.0,0.0,0.0,0,0,115,9,test
Riddim - 4s,7,0.5,0.0,0.0,0.0,0,0,117,7,test
Riddim - 8s,1,0.5,0.0,0.0,0.0,0,0,123,1,test
Clubstep,4,0.5,0.0,0.0,0.0,0,0,120,4,test
Deadly Dubstep,6,0.5,0.0,0.0,0.0,0,0,118,6,test
Dubstep,34,0.5,1.0,0.08823529411764706,0.1621621621621622,3,0,90,31,test
Funkstep,11,0.5,0.16666666666666666,0.09090909090909091,0.11764705882352942,1,5,108,10,test
Headbanger,16,0.5,0.3333333333333333,0.0625,0.10526315789473684,1,2,106,15,test
Jazzstep,11,0.5,0.6666666666666666,0.18181818181818182,0.28571428571428575,2,1,112,9,test
Metalstep,6,0.5,0.0,0.0,0.0,0,0,118,6,test
Wubzstep,36,0.5,0.5454545454545454,0.5,0.5217391304347826,18,15,73,18,test
