playlist,support,threshold,precision,recall,f1,tp,fp,tn,fn,fold
Riddim - High Hat,20,0.09000000357627869,0.22807017543859648,0.65,0.33766233766233766,13,44,381,7,1
Riddim - Deep Dub,14,0.05999999865889549,0.2391304347826087,0.7857142857142857,0.36666666666666664,11,35,396,3,1
Riddim - Vocals,30,0.05999999865889549,0.0963855421686747,0.8,0.17204301075268819,24,225,190,6,1
Riddim - Chill,50,0.23999999463558197,0.6923076923076923,0.18,0.28571428571428575,9,4,391,41,1
Riddim - GWN/BT Style,23,0.09000000357627869,0.5555555555555556,0.43478260869565216,0.4878048780487805,10,8,414,13,1
Riddim - Wubz,19,0.1899999976158142,0.75,0.15789473684210525,0.2608695652173913,3,1,425,16,1
Riddim - Medium,105,0.20999999344348907,0.41208791208791207,0.7142857142857143,0.5226480836236933,75,107,233,30,1
Riddim - Womps,51,0.12999999523162842,0.42592592592592593,0.45098039215686275,0.43809523809523804,23,31,363,28,1
Riddim - Heavy,23,0.15000000596046448,0.28846153846153844,0.6521739130434783,0.39999999999999997,15,37,385,8,1
Riddim - 4s,16,0.38999998569488525,0.0,0.0,0.0,0,1,428,16,1
Riddim - 8s,7,0.5,0.0,0.0,0.0,0,0,438,7,1
Clubstep,20,0.05999999865889549,0.2,0.25,0.22222222222222224,5,20,405,15,1
Deadly Dubstep,21,0.1899999976158142,0.3125,0.47619047619047616,0.37735849056603776,10,22,402,11,1
Dubstep,82,0.10999999940395355,0.22346368715083798,0.975609756097561,0.36363636363636365,80,278,85,2,1
Funkstep,37,0.2199999988079071,0.4090909090909091,0.24324324324324326,0.3050847457627119,9,13,395,28,1
Headbanger,45,0.2800000011920929,0.2962962962962963,0.35555555555555557,0.3232323232323232,16,38,362,29,1
Jazzstep,30,0.28999999165534973,0.35714285714285715,0.16666666666666666,0.22727272727272724,5,9,406,25,1
Metalstep,20,0.23999999463558197,1.0,0.2,0.33333333333333337,4,0,425,16,1
Wubzstep,127,0.3499999940395355,0.5526315789473685,0.49606299212598426,0.5228215767634855,63,51,267,64,1
Riddim - High Hat,22,0.5,0.5,0.09090909090909091,0.15384615384615385,2,2,420,20,2
Riddim - Deep Dub,21,0.17000000178813934,0.5,0.23809523809523808,0.3225806451612903,5,5,418,16,2
Riddim - Vocals,30,0.05000000074505806,0.0794392523364486,0.5666666666666667,0.13934426229508196,17,197,217,13,2
Riddim - Chill,49,0.07000000029802322,0.14878892733564014,0.8775510204081632,0.25443786982248523,43,246,149,6,2
Riddim - GWN/BT Style,20,0.17000000178813934,0.7142857142857143,0.25,0.37037037037037035,5,2,422,15,2
Riddim - Wubz,27,0.10999999940395355,0.30434782608695654,0.25925925925925924,0.27999999999999997,7,16,401,20,2
Riddim - Medium,101,0.15000000596046448,0.3888888888888889,0.693069306930693,0.498220640569395,70,110,233,31,2
Riddim - Womps,49,0.14000000059604645,0.23,0.46938775510204084,0.3087248322147651,23,77,318,26,2
Riddim - Heavy,33,0.2199999988079071,0.75,0.18181818181818182,0.2926829268292683,6,2,409,27,2
Riddim - 4s,20,0.17000000178813934,0.8,0.2,0.32000000000000006,4,1,423,16,2
Riddim - 8s,4,0.5,0.0,0.0,0.0,0,0,440,4,2
Clubstep,18,0.05000000074505806,0.07079646017699115,0.4444444444444444,0.12213740458015265,8,105,321,10,2
Deadly Dubstep,31,0.07999999821186066,0.3442622950819672,0.6774193548387096,0.45652173913043476,21,40,373,10,2
Dubstep,87,0.23999999463558197,0.2905982905982906,0.39080459770114945,0.33333333333333337,34,83,274,53,2
Funkstep,43,0.1899999976158142,0.55,0.2558139534883721,0.34920634920634924,11,9,392,32,2
Headbanger,66,0.49000000953674316,0.6666666666666666,0.12121212121212122,0.20512820512820512,8,4,374,58,2
Jazzstep,44,0.28999999165534973,0.6,0.06818181818181818,0.1224489795918367,3,2,398,41,2
Metalstep,26,0.18000000715255737,1.0,0.23076923076923078,0.375,6,0,418,20,2
Wubzstep,97,0.25999999046325684,0.30115830115830117,0.8041237113402062,0.4382022471910112,78,181,166,19,2
Riddim - High Hat,21,0.05999999865889549,0.5217391304347826,0.5714285714285714,0.5454545454545454,12,11,412,9,3
