playlist,support,threshold,precision,recall,f1,tp,fp,tn,fn,fold
Riddim - High Hat,3,0.5,0.1875,1.0,0.3157894736842105,3,13,117,0,validation
Riddim - Deep Dub,5,0.5,0.16666666666666666,0.4,0.23529411764705882,2,10,118,3,validation
Riddim - Vocals,7,0.5,0.11764705882352941,0.5714285714285714,0.1951219512195122,4,30,96,3,validation
Riddim - Chill,17,0.5,0.35714285714285715,0.8823529411764706,0.5084745762711864,15,27,89,2,validation
Riddim - GWN/BT Style,5,0.5,0.13793103448275862,0.8,0.2352941176470588,4,25,103,1,validation
Riddim - Wubz,7,0.5,0.23529411764705882,0.5714285714285714,0.3333333333333333,4,13,113,3,validation
Riddim - Medium,35,0.5,0.5625,0.5142857142857142,0.5373134328358209,18,14,84,17,validation
Riddim - Womps,11,0.5,0.2222222222222222,0.7272727272727273,0.3404255319148936,8,28,94,3,validation
Riddim - Heavy,6,0.5,0.26666666666666666,0.6666666666666666,0.3809523809523809,4,11,116,2,validation
Riddim - 4s,8,0.5,0.18181818181818182,0.5,0.26666666666666666,4,18,107,4,validation
Riddim - 8s,1,0.5,0.125,1.0,0.2222222222222222,1,7,125,0,validation
Clubstep,7,0.5,0.15625,0.7142857142857143,0.25641025641025644,5,27,99,2,validation
Deadly Dubstep,6,0.5,0.25,0.6666666666666666,0.36363636363636365,4,12,115,2,validation
Dubstep,17,0.5,0.25,0.7058823529411765,0.36923076923076925,12,36,80,5,validation
Funkstep,20,0.5,0.28205128205128205,0.55,0.3728813559322034,11,28,85,9,validation
Headbanger,8,0.5,0.23333333333333334,0.875,0.3684210526315789,7,23,102,1,validation
Jazzstep,14,0.5,0.2553191489361702,0.8571428571428571,0.3934426229508196,12,35,84,2,validation
Metalstep,4,0.5,0.125,0.5,0.2,2,14,115,2,validation
Wubzstep,31,0.5,0.3291139240506329,0.8387096774193549,0.47272727272727266,26,53,49,5,validation
Riddim - High Hat,4,0.5,0.21052631578947367,1.0,0.34782608695652173,4,15,115,0,test
Riddim - Deep Dub,3,0.5,0.15384615384615385,0.6666666666666666,0.25,2,11,120,1,test
Riddim - Vocals,3,0.5,0.043478260869565216,0.3333333333333333,0.07692307692307691,1,22,109,2,test
Riddim - Chill,6,0.5,0.12121212121212122,0.6666666666666666,0.20512820512820512,4,29,99,2,test
Riddim - GWN/BT Style,5,0.5,0.05,0.2,0.08000000000000002,1,19,110,4,test
Riddim - Wubz,7,0.5,0.125,0.2857142857142857,0.17391304347826086,2,14,113,5,test
Riddim - Medium,21,0.5,0.5384615384615384,0.6666666666666666,0.5957446808510638,14,12,101,7,test
Riddim - Womps,14,0.5,0.3125,0.7142857142857143,0.43478260869565216,10,22,98,4,test
Riddim - Heavy,7,0.5,0.38461538461538464,0.7142857142857143,0.5,5,8,119,2,test
Riddim - 4s,8,0.5,0.3333333333333333,0.75,0.46153846153846156,6,12,114,2,test
Riddim - 8s,2,0.5,0.16666666666666666,0.5,0.25,1,5,127,1,test
Clubstep,3,0.5,0.030303030303030304,0.3333333333333333,0.05555555555555555,1,32,99,2,test
Deadly Dubstep,7,0.5,0.25,0.5714285714285714,0.34782608695652173,4,12,115,3,test
Dubstep,26,0.5,0.30434782608695654,0.5384615384615384,0.3888888888888889,14,32,76,12,test
Funkstep,13,0.5,0.1951219512195122,0.6153846153846154,0.29629629629629634,8,33,88,5,test
Headbanger,15,0.5,0.34615384615384615,0.6,0.43902439024390244,9,17,102,6,test
Jazzstep,10,0.5,0.15517241379310345,0.9,0.2647058823529411,9,49,75,1,test
Metalstep,5,0.5,0.26666666666666666,0.8,0.4,4,11,118,1,test
Wubzstep,47,0.5,0.5,0.9574468085106383,0.656934306569343,45,45,42,2,test
