playlist,support,threshold,precision,recall,f1,tp,fp,tn,fn,fold
Riddim - High Hat,20,0.20999999344348907,1.0,0.25,0.4,5,0,392,15,1
Riddim - Deep Dub,7,0.1899999976158142,0.3333333333333333,0.14285714285714285,0.2,1,2,403,6,1
Riddim - Vocals,29,0.20999999344348907,0.0,0.0,0.0,0,2,381,29,1
Riddim - Chill,44,0.20000000298023224,0.6,0.13636363636363635,0.22222222222222218,6,4,364,38,1
Riddim - GWN/BT Style,19,0.07999999821186066,0.5625,0.47368421052631576,0.5142857142857142,9,7,386,10,1
Riddim - Wubz,23,0.05999999865889549,0.1836734693877551,0.391304347826087,0.25,9,40,349,14,1
Riddim - Medium,102,0.4099999964237213,0.5,0.5,0.5,51,51,259,51,1
Riddim - Womps,46,0.07000000029802322,0.1485148514851485,0.6521739130434783,0.24193548387096772,30,172,194,16,1
Riddim - Heavy,29,0.5,0.5555555555555556,0.1724137931034483,0.26315789473684215,5,4,379,24,1
Riddim - 4s,20,0.1599999964237213,0.2857142857142857,0.2,0.23529411764705882,4,10,382,16,1
Riddim - 8s,7,0.5,0.0,0.0,0.0,0,0,405,7,1
Clubstep,6,0.5,0.0,0.0,0.0,0,0,406,6,1
Deadly Dubstep,27,0.3400000035762787,0.25,0.2222222222222222,0.23529411764705882,6,18,367,21,1
Dubstep,71,0.17000000178813934,0.26666666666666666,0.7887323943661971,0.398576512455516,56,154,187,15,1
Funkstep,35,0.11999999731779099,0.23255813953488372,0.2857142857142857,0.2564102564102564,10,33,344,25,1
Headbanger,54,0.5400000214576721,0.3333333333333333,0.3888888888888889,0.358974358974359,21,42,316,33,1
Jazzstep,25,0.17000000178813934,0.25,0.36,0.29508196721311475,9,27,360,16,1
Metalstep,27,0.2199999988079071,0.5555555555555556,0.18518518518518517,0.2777777777777778,5,4,381,22,1
Wubzstep,110,0.18000000715255737,0.4303030303030303,0.6454545454545455,0.5163636363636365,71,94,208,39,1
Riddim - High Hat,18,0.5299999713897705,0.6666666666666666,0.1111111111111111,0.1904761904761905,2,1,392,16,2
Riddim - Deep Dub,16,0.5,1.0,0.125,0.2222222222222222,2,0,395,14,2
Riddim - Vocals,29,0.09000000357627869,0.06206896551724138,0.3103448275862069,0.10344827586206895,9,136,246,20,2
Riddim - Chill,47,0.20000000298023224,0.5,0.2127659574468085,0.2985074626865672,10,10,354,37,2
Riddim - GWN/BT Style,23,0.05000000074505806,0.1111111111111111,0.5217391304347826,0.183206106870229,12,96,292,11,2
Riddim - Wubz,20,0.3400000035762787,0.0,0.0,0.0,0,0,391,20,2
Riddim - Medium,97,0.33000001311302185,0.3933333333333333,0.6082474226804123,0.4777327935222672,59,91,223,38,2
Riddim - Womps,45,0.25999999046325684,0.3333333333333333,0.1111111111111111,0.16666666666666666,5,10,356,40,2
Riddim - Heavy,26,0.07999999821186066,0.183206106870229,0.9230769230769231,0.3057324840764331,24,107,278,2,2
