playlist,support,threshold,precision,recall,f1,tp,fp,tn,fn,fold
Riddim - High Hat,34,0.49000000953674316,0.0636042402826855,0.5294117647058824,0.11356466876971609,18,265,368,16,1
Riddim - Deep Dub,22,0.5400000214576721,0.06741573033707865,0.2727272727272727,0.1081081081081081,6,83,562,16,1
Riddim - Vocals,44,0.49000000953674316,0.07243816254416961,0.9318181818181818,0.13442622950819674,41,525,98,3,1
Riddim - Chill,71,0.44999998807907104,0.11301369863013698,0.9295774647887324,0.2015267175572519,66,518,78,5,1
Riddim - GWN/BT Style,31,0.5299999713897705,0.05555555555555555,0.3548387096774194,0.09606986899563318,11,187,449,20,1
Riddim - Wubz,33,0.5600000023841858,0.16666666666666666,0.12121212121212122,0.14035087719298245,4,20,614,29,1
Riddim - Medium,156,0.550000011920929,0.23790322580645162,0.3782051282051282,0.29207920792079206,59,189,322,97,1
Riddim - Womps,77,0.5199999809265137,0.14883720930232558,0.4155844155844156,0.2191780821917808,32,183,407,45,1
Riddim - Heavy,40,0.5,0.05789473684210526,0.275,0.09565217391304347,11,179,448,29,1
Riddim - 4s,26,0.49000000953674316,0.04722222222222222,0.6538461538461539,0.08808290155440415,17,343,298,9,1
Riddim - 8s,9,0.4699999988079071,0.008888888888888889,0.2222222222222222,0.017094017094017096,2,223,435,7,1
Clubstep,29,0.5699999928474426,0.06818181818181818,0.10344827586206896,0.08219178082191782,3,41,597,26,1
Deadly Dubstep,40,0.5400000214576721,0.06818181818181818,0.075,0.07142857142857141,3,41,586,37,1
Dubstep,121,0.4099999964237213,0.18333333333333332,1.0,0.30985915492957744,121,539,7,0,1
Funkstep,62,0.5199999809265137,0.15286624203821655,0.3870967741935484,0.2191780821917808,24,133,472,38,1
Headbanger,80,0.46000000834465027,0.12345679012345678,0.75,0.21201413427561835,60,426,161,20,1
Jazzstep,54,0.5,0.09956709956709957,0.42592592592592593,0.16140350877192983,23,208,405,31,1
Metalstep,35,0.5,0.025,0.05714285714285714,0.034782608695652174,2,78,554,33,1
Wubzstep,171,0.3799999952316284,0.2563718140929535,1.0,0.4081145584725536,171,496,0,0,1
Riddim - High Hat,29,0.5199999809265137,0.17777777777777778,0.5517241379310345,0.2689075630252101,16,74,563,13,2
Riddim - Deep Dub,28,0.5,0.11475409836065574,0.5,0.18666666666666668,14,108,530,14,2
Riddim - Vocals,46,0.44999998807907104,0.07457627118644068,0.9565217391304348,0.13836477987421383,44,546,74,2,2
Riddim - Chill,72,0.550000011920929,0.21621621621621623,0.1111111111111111,0.14678899082568808,8,29,565,64,2
Riddim - GWN/BT Style,30,0.5099999904632568,0.10071942446043165,0.4666666666666667,0.16568047337278105,14,125,511,16,2
Riddim - Wubz,39,0.5400000214576721,0.029411764705882353,0.02564102564102564,0.0273972602739726,1,33,594,38,2
Riddim - Medium,155,0.5099999904632568,0.25260960334029225,0.7806451612903226,0.38170347003154576,121,358,153,34,2
Riddim - Womps,73,0.49000000953674316,0.11898016997167139,0.5753424657534246,0.19718309859154928,42,311,282,31,2
Riddim - Heavy,37,0.550000011920929,0.1388888888888889,0.2702702702702703,0.18348623853211007,10,62,567,27,2
Riddim - 4s,32,0.5199999809265137,0.058355437665782495,0.6875,0.10757946210268951,22,355,279,10,2
Riddim - 8s,11,0.4399999976158142,0.030303030303030304,0.2727272727272727,0.05454545454545456,3,96,559,8,2
Clubstep,22,0.49000000953674316,0.038338658146964855,0.5454545454545454,0.07164179104477611,12,301,343,10,2
Deadly Dubstep,33,0.6000000238418579,0.0,0.0,0.0,0,14,619,33,2
Dubstep,134,0.44999998807907104,0.22565320665083136,0.7089552238805971,0.34234234234234234,95,326,206,39,2
Funkstep,64,0.5199999809265137,0.11235955056179775,0.625,0.19047619047619047,40,316,286,24,2
Headbanger,90,0.5099999904632568,0.17964071856287425,0.6666666666666666,0.28301886792452835,60,274,302,30,2
Jazzstep,55,0.5,0.11304347826086956,0.23636363636363636,0.15294117647058825,13,102,509,42,2
Metalstep,26,0.5,0.058419243986254296,0.6538461538461539,0.10725552050473186,17,274,366,9,2
Wubzstep,165,0.44999998807907104,0.2671118530884808,0.9696969696969697,0.418848167539267,160,439,62,5,2
Riddim - High Hat,63,0.5049999952316284,0.09115281501340483,0.5396825396825397,0.1559633027522936,34,339,931,29,aggregate
Riddim - Deep Dub,50,0.5200000107288361,0.0947867298578199,0.4,0.15325670498084293,20,191,1092,30,aggregate
Riddim - Vocals,90,0.4699999988079071,0.07352941176470588,0.9444444444444444,0.13643659711075443,85,1071,172,5,aggregate
Riddim - Chill,143,0.5,0.11916264090177134,0.5174825174825175,0.193717277486911,74,547,643,69,aggregate
Riddim - GWN/BT Style,61,0.5199999809265137,0.07418397626112759,0.4098360655737705,0.12562814070351758,25,312,960,36,aggregate
Riddim - Wubz,72,0.550000011920929,0.08620689655172414,0.06944444444444445,0.07692307692307693,5,53,1208,67,aggregate
Riddim - Medium,311,0.5300000011920929,0.24759284731774414,0.5787781350482315,0.3468208092485549,180,547,475,131,aggregate
Riddim - Womps,150,0.5049999952316284,0.13028169014084506,0.49333333333333335,0.20612813370473537,74,494,689,76,aggregate
Riddim - Heavy,77,0.5250000059604645,0.08015267175572519,0.2727272727272727,0.12389380530973451,21,241,1015,56,aggregate
Riddim - 4s,58,0.5049999952316284,0.052917232021709636,0.6724137931034483,0.09811320754716983,39,698,577,19,aggregate
Riddim - 8s,20,0.45499999821186066,0.015432098765432098,0.25,0.02906976744186046,5,319,994,15,aggregate
Clubstep,51,0.5300000011920929,0.04201680672268908,0.29411764705882354,0.07352941176470588,15,342,940,36,aggregate
Deadly Dubstep,73,0.570000022649765,0.05172413793103448,0.0410958904109589,0.04580152671755725,3,55,1205,70,aggregate
Dubstep,255,0.4299999922513962,0.1998149861239593,0.8470588235294118,0.32335329341317365,216,865,213,39,aggregate
Funkstep,126,0.5199999809265137,0.12475633528265107,0.5079365079365079,0.2003129890453834,64,449,758,62,aggregate
Headbanger,170,0.48499999940395355,0.14634146341463414,0.7058823529411765,0.2424242424242424,120,700,463,50,aggregate
Jazzstep,109,0.5,0.10404624277456648,0.3302752293577982,0.15824175824175823,36,310,914,73,aggregate
Metalstep,61,0.5,0.05121293800539083,0.3114754098360656,0.08796296296296297,19,352,920,42,aggregate
Wubzstep,336,0.41499999165534973,0.26145339652448657,0.9851190476190477,0.4132334581772784,331,935,62,5,aggregate
