playlist,support,threshold,precision,recall,f1,tp,fp,tn,fn,fold
Riddim - High Hat,6,0.5,1.0,0.5,0.6666666666666666,3,0,117,3,validation
Riddim - Deep Dub,3,0.5,0.0,0.0,0.0,0,0,120,3,validation
Riddim - Vocals,13,0.5,0.0,0.0,0.0,0,0,110,13,validation
Riddim - Chill,5,0.5,1.0,0.2,0.33333333333333337,1,0,118,4,validation
Riddim - GWN/BT Style,2,0.5,0.0,0.0,0.0,0,0,121,2,validation
Riddim - Wubz,4,0.5,0.0,0.0,0.0,0,0,119,4,validation
Riddim - Medium,27,0.5,0.42857142857142855,0.1111111111111111,0.17647058823529413,3,4,92,24,validation
Riddim - Womps,10,0.5,0.0,0.0,0.0,0,0,113,10,validation
Riddim - Heavy,6,0.5,1.0,0.3333333333333333,0.5,2,0,117,4,validation
Riddim - 4s,5,0.5,0.0,0.0,0.0,0,0,118,5,validation
Riddim - 8s,1,0.5,0.0,0.0,0.0,0,0,122,1,validation
Clubstep,4,0.5,0.0,0.0,0.0,0,0,119,4,validation
Deadly Dubstep,7,0.5,0.0,0.0,0.0,0,1,115,7,validation
Dubstep,30,0.5,0.0,0.0,0.0,0,1,92,30,validation
Funkstep,15,0.5,0.5,0.13333333333333333,0.2105263157894737,2,2,106,13,validation
Headbanger,20,0.5,0.6666666666666666,0.1,0.1739130434782609,2,1,102,18,validation
Jazzstep,9,0.5,1.0,0.2222222222222222,0.3636363636363636,2,0,114,7,validation
Metalstep,12,0.5,1.0,0.08333333333333333,0.15384615384615385,1,0,111,11,validation
Wubzstep,28,0.5,0.75,0.21428571428571427,0.3333333333333333,6,2,93,22,validation
Riddim - High Hat,3,0.5,0.42857142857142855,1.0,0.6,3,4,117,0,test
Riddim - Deep Dub,5,0.5,0.6666666666666666,0.4,0.5,2,1,118,3,test
Riddim - Vocals,9,0.5,0.0,0.0,0.0,0,0,115,9,test
Riddim - Chill,16,0.5,0.75,0.1875,0.3,3,1,107,13,test
Riddim - GWN/BT Style,7,0.5,1.0,0.2857142857142857,0.4444444444444445,2,0,117,5,test
Riddim - Wubz,5,0.5,0.0,0.0,0.0,0,0,119,5,test
Riddim - Medium,27,0.5,0.4166666666666667,0.18518518518518517,0.2564102564102564,5,7,90,22,test
Riddim - Womps,16,0.5,0.5,0.0625,0.1111111111111111,1,1,107,15,test
Riddim - Heavy,9,0.5,0.0,0.0,0.0,0,1,114,9,test
Riddim - 4s,4,0.5,0.0,0.0,0.0,0,0,120,4,test
Riddim - 8s,3,0.5,0.0,0.0,0.0,0,0,121,3,test
Clubstep,4,0.5,0.0,0.0,0.0,0,0,120,4,test
Deadly Dubstep,7,0.5,0.0,0.0,0.0,0,0,117,7,test
Dubstep,23,0.5,0.5,0.08695652173913043,0.14814814814814817,2,2,99,21,test
Funkstep,15,0.5,0.75,0.4,0.5217391304347827,6,2,107,9,test
Headbanger,21,0.5,1.0,0.09523809523809523,0.17391304347826084,2,0,103,19,test
Jazzstep,9,0.5,0.5,0.1111111111111111,0.1818181818181818,1,1,114,8,test
Metalstep,7,0.5,0.0,0.0,0.0,0,0,117,7,test
Wubzstep,31,0.5,0.8571428571428571,0.1935483870967742,0.3157894736842105,6,1,92,25,test
