playlist,support,threshold,precision,recall,f1,tp,fp,tn,fn,fold
Riddim - High Hat,5,0.5,0.6666666666666666,0.4,0.5,2,1,117,3,validation
Riddim - Deep Dub,3,0.5,0.5,0.3333333333333333,0.4,1,1,119,2,validation
Riddim - Vocals,6,0.5,0.0,0.0,0.0,0,0,117,6,validation
Riddim - Chill,14,0.5,0.5,0.14285714285714285,0.22222222222222224,2,2,107,12,validation
Riddim - GWN/BT Style,9,0.5,1.0,0.3333333333333333,0.5,3,0,114,6,validation
Riddim - Wubz,4,0.5,0.0,0.0,0.0,0,0,119,4,validation
Riddim - Medium,29,0.5,0.6923076923076923,0.3103448275862069,0.4285714285714286,9,4,90,20,validation
Riddim - Womps,13,0.5,0.5,0.07692307692307693,0.13333333333333336,1,1,109,12,validation
Riddim - Heavy,4,0.5,0.0,0.0,0.0,0,0,119,4,validation
Riddim - 4s,7,0.5,0.0,0.0,0.0,0,0,116,7,validation
Riddim - 8s,1,0.5,0.0,0.0,0.0,0,0,122,1,validation
Clubstep,3,0.5,0.0,0.0,0.0,0,0,120,3,validation
Deadly Dubstep,5,0.5,0.0,0.0,0.0,0,1,117,5,validation
Dubstep,26,0.5,0.8333333333333334,0.19230769230769232,0.3125,5,1,96,21,validation
Funkstep,13,0.5,0.6666666666666666,0.15384615384615385,0.25,2,1,109,11,validation
Headbanger,20,0.5,0.5714285714285714,0.2,0.29629629629629634,4,3,100,16,validation
Jazzstep,11,0.5,0.0,0.0,0.0,0,0,112,11,validation
Metalstep,4,0.5,0.0,0.0,0.0,0,0,119,4,validation
Wubzstep,28,0.5,0.6666666666666666,0.21428571428571427,0.3243243243243243,6,3,92,22,validation
Riddim - High Hat,5,0.5,0.75,0.6,0.6666666666666665,3,1,118,2,test
Riddim - Deep Dub,3,0.5,0.0,0.0,0.0,0,0,121,3,test
Riddim - Vocals,11,0.5,0.0,0.0,0.0,0,0,113,11,test
Riddim - Chill,16,0.5,0.6,0.1875,0.2857142857142857,3,2,106,13,test
Riddim - GWN/BT Style,8,0.5,0.5,0.125,0.2,1,1,115,7,test
Riddim - Wubz,6,0.5,0.0,0.0,0.0,0,1,117,6,test
Riddim - Medium,30,0.5,0.375,0.1,0.15789473684210528,3,5,89,27,test
Riddim - Womps,19,0.5,0.0,0.0,0.0,0,0,105,19,test
Riddim - Heavy,5,0.5,0.5,0.2,0.28571428571428575,1,1,118,4,test
Riddim - 4s,5,0.5,0.0,0.0,0.0,0,0,119,5,test
Riddim - 8s,2,0.5,0.0,0.0,0.0,0,0,122,2,test
Clubstep,4,0.5,0.0,0.0,0.0,0,0,120,4,test
Deadly Dubstep,5,0.5,1.0,0.6,0.7499999999999999,3,0,119,2,test
Dubstep,24,0.5,0.75,0.125,0.21428571428571427,3,1,99,21,test
Funkstep,9,0.5,0.0,0.0,0.0,0,0,115,9,test
Headbanger,12,0.5,0.2857142857142857,0.16666666666666666,0.2105263157894737,2,5,107,10,test
Jazzstep,10,0.5,0.0,0.0,0.0,0,0,114,10,test
Metalstep,1,0.5,0.0,0.0,0.0,0,0,123,1,test
Wubzstep,38,0.5,0.8333333333333334,0.13157894736842105,0.22727272727272727,5,1,85,33,test
