playlist,support,threshold,precision,recall,f1,tp,fp,tn,fn,fold
Riddim - High Hat,20,0.3499999940395355,0.38095238095238093,0.4,0.3902439024390244,8,13,412,12,1
Riddim - Deep Dub,14,0.27000001072883606,0.24528301886792453,0.9285714285714286,0.3880597014925373,13,40,391,1,1
Riddim - Vocals,30,0.7699999809265137,0.06666666666666667,0.03333333333333333,0.04444444444444444,1,14,401,29,1
Riddim - Chill,50,0.5099999904632568,0.3793103448275862,0.44,0.4074074074074074,22,36,359,28,1
Riddim - GWN/BT Style,23,0.5600000023841858,0.3888888888888889,0.30434782608695654,0.34146341463414637,7,11,411,16,1
Riddim - Wubz,19,0.4399999976158142,0.06293706293706294,0.47368421052631576,0.11111111111111112,9,134,292,10,1
Riddim - Medium,105,0.7099999785423279,0.47435897435897434,0.7047619047619048,0.5670498084291188,74,82,258,31,1
Riddim - Womps,51,0.6600000262260437,0.3684210526315789,0.4117647058823529,0.3888888888888889,21,36,358,30,1
Riddim - Heavy,23,0.949999988079071,0.44,0.4782608695652174,0.4583333333333333,11,14,408,12,1
Riddim - 4s,16,0.7599999904632568,0.1111111111111111,0.25,0.15384615384615383,4,32,397,12,1
Riddim - 8s,7,0.7400000095367432,0.0,0.0,0.0,0,16,422,7,1
Clubstep,20,0.5,0.18867924528301888,0.5,0.27397260273972607,10,43,382,10,1
Deadly Dubstep,21,0.9200000166893005,0.2564102564102564,0.47619047619047616,0.3333333333333333,10,29,395,11,1
Dubstep,82,0.6399999856948853,0.31313131313131315,0.3780487804878049,0.3425414364640884,31,68,295,51,1
Funkstep,37,0.6600000262260437,0.3225806451612903,0.2702702702702703,0.2941176470588235,10,21,387,27,1
Headbanger,45,0.8700000047683716,0.3023255813953488,0.5777777777777777,0.3969465648854962,26,60,340,19,1
Jazzstep,30,0.75,0.3333333333333333,0.16666666666666666,0.2222222222222222,5,10,405,25,1
Metalstep,20,0.8999999761581421,0.375,0.3,0.33333333333333326,6,10,415,14,1
Wubzstep,127,0.2199999988079071,0.3873239436619718,0.8661417322834646,0.5352798053527981,110,174,144,17,1
Riddim - High Hat,22,0.7200000286102295,0.75,0.4090909090909091,0.5294117647058824,9,3,419,13,2
Riddim - Deep Dub,21,0.5699999928474426,0.3939393939393939,0.6190476190476191,0.48148148148148145,13,20,403,8,2
