playlist,support,threshold,precision,recall,f1,tp,fp,tn,fn,fold
Riddim - High Hat,34,0.6000000238418579,0.38461538461538464,0.4411764705882353,0.4109589041095891,15,24,609,19,1
Riddim - Deep Dub,22,0.5299999713897705,0.09174311926605505,0.45454545454545453,0.15267175572519087,10,99,546,12,1
Riddim - Vocals,44,0.44999998807907104,0.07377049180327869,0.8181818181818182,0.13533834586466165,36,452,171,8,1
Riddim - Chill,71,0.5400000214576721,0.17204301075268819,0.22535211267605634,0.1951219512195122,16,77,519,55,1
Riddim - GWN/BT Style,31,0.5600000023841858,0.125,0.1935483870967742,0.1518987341772152,6,42,594,25,1
Riddim - Wubz,33,0.5400000214576721,0.15151515151515152,0.30303030303030304,0.20202020202020202,10,56,578,23,1
Riddim - Medium,156,0.4699999988079071,0.23689320388349513,0.782051282051282,0.36363636363636365,122,393,118,34,1
Riddim - Womps,77,0.47999998927116394,0.11546840958605664,0.6883116883116883,0.19776119402985073,53,406,184,24,1
Riddim - Heavy,40,0.41999998688697815,0.06389776357827476,1.0,0.12012012012012012,40,586,41,0,1
Riddim - 4s,26,0.49000000953674316,0.06563706563706563,0.6538461538461539,0.11929824561403508,17,242,399,9,1
Riddim - 8s,9,0.44999998807907104,0.01990049751243781,0.4444444444444444,0.03809523809523809,4,197,461,5,1
Clubstep,29,0.49000000953674316,0.03322259136212625,0.3448275862068966,0.060606060606060615,10,291,347,19,1
Deadly Dubstep,40,0.47999998927116394,0.05701754385964912,0.65,0.10483870967741934,26,430,197,14,1
Dubstep,121,0.47999998927116394,0.19144144144144143,0.7024793388429752,0.30088495575221236,85,359,187,36,1
Funkstep,62,0.5199999809265137,0.1875,0.24193548387096775,0.2112676056338028,15,65,540,47,1
Headbanger,80,0.4699999988079071,0.13983050847457626,0.825,0.23913043478260868,66,406,181,14,1
Jazzstep,54,0.5600000023841858,0.26666666666666666,0.07407407407407407,0.11594202898550725,4,11,602,50,1
Metalstep,35,0.5,0.025974025974025976,0.11428571428571428,0.04232804232804233,4,150,482,31,1
Wubzstep,171,0.5,0.3072463768115942,0.6198830409356725,0.4108527131782946,106,239,257,65,1
Riddim - High Hat,29,0.5799999833106995,0.14960629921259844,0.6551724137931034,0.2435897435897436,19,108,529,10,2
Riddim - Deep Dub,28,0.5,0.0521415270018622,1.0,0.09911504424778762,28,509,129,0,2
Riddim - Vocals,46,0.4300000071525574,0.06802721088435375,0.6521739130434783,0.12320328542094458,30,411,209,16,2
Riddim - Chill,72,0.44999998807907104,0.11024844720496894,0.9861111111111112,0.19832402234636873,71,573,21,1,2
Riddim - GWN/BT Style,30,0.49000000953674316,0.04753199268738574,0.8666666666666667,0.09012131715771231,26,521,115,4,2
Riddim - Wubz,39,0.47999998927116394,0.08494208494208494,0.5641025641025641,0.14765100671140938,22,237,390,17,2
Riddim - Medium,155,0.5099999904632568,0.2814569536423841,0.5483870967741935,0.3719912472647702,85,217,294,70,2
Riddim - Womps,73,0.5400000214576721,0.18823529411764706,0.2191780821917808,0.20253164556962022,16,69,524,57,2
Riddim - Heavy,37,0.4699999988079071,0.05699481865284974,0.5945945945945946,0.10401891252955082,22,364,265,15,2
Riddim - 4s,32,0.5899999737739563,0.10810810810810811,0.25,0.1509433962264151,8,66,568,24,2
Riddim - 8s,11,0.46000000834465027,0.011904761904761904,0.18181818181818182,0.022346368715083796,2,166,489,9,2
Clubstep,22,0.4300000071525574,0.03777335984095427,0.8636363636363636,0.07238095238095237,19,484,160,3,2
Deadly Dubstep,33,0.5799999833106995,0.0,0.0,0.0,0,19,614,33,2
Dubstep,134,0.4300000071525574,0.21193415637860083,0.7686567164179104,0.33225806451612905,103,383,149,31,2
Funkstep,64,0.5,0.145,0.453125,0.2196969696969697,29,171,431,35,2
Headbanger,90,0.49000000953674316,0.16260162601626016,0.4444444444444444,0.23809523809523808,40,206,370,50,2
Jazzstep,55,0.44999998807907104,0.10174418604651163,0.6363636363636364,0.1754385964912281,35,309,302,20,2
Metalstep,26,0.47999998927116394,0.05113636363636364,0.34615384615384615,0.08910891089108912,9,167,473,17,2
Wubzstep,165,0.47999998927116394,0.27823691460055094,0.6121212121212121,0.3825757575757575,101,262,239,64,2
Riddim - High Hat,63,0.5900000035762787,0.20481927710843373,0.5396825396825397,0.296943231441048,34,132,1138,29,aggregate
Riddim - Deep Dub,50,0.5149999856948853,0.058823529411764705,0.76,0.10919540229885058,38,608,675,12,aggregate
Riddim - Vocals,90,0.4399999976158142,0.07104413347685684,0.7333333333333333,0.1295387634936212,66,863,380,24,aggregate
Riddim - Chill,143,0.4950000047683716,0.11804613297150611,0.6083916083916084,0.19772727272727275,87,650,540,56,aggregate
Riddim - GWN/BT Style,61,0.5250000059604645,0.05378151260504202,0.5245901639344263,0.0975609756097561,32,563,709,29,aggregate
Riddim - Wubz,72,0.510000005364418,0.09846153846153846,0.4444444444444444,0.16120906801007556,32,293,968,40,aggregate
Riddim - Medium,311,0.48999999463558197,0.2533659730722154,0.6655948553054662,0.3670212765957447,207,610,412,104,aggregate
Riddim - Womps,150,0.510000005364418,0.12683823529411764,0.46,0.19884726224783858,69,475,708,81,aggregate
Riddim - Heavy,77,0.4449999928474426,0.06126482213438735,0.8051948051948052,0.11386593204775024,62,950,306,15,aggregate
Riddim - 4s,58,0.5399999916553497,0.07507507507507508,0.43103448275862066,0.1278772378516624,25,308,967,33,aggregate
Riddim - 8s,20,0.45499999821186066,0.016260162601626018,0.3,0.03084832904884319,6,363,950,14,aggregate
Clubstep,51,0.46000000834465027,0.036069651741293535,0.5686274509803921,0.06783625730994153,29,775,507,22,aggregate
Deadly Dubstep,73,0.5299999862909317,0.05473684210526316,0.3561643835616438,0.09489051094890512,26,449,811,47,aggregate
Dubstep,255,0.45499999821186066,0.2021505376344086,0.7372549019607844,0.3172995780590717,188,742,336,67,aggregate
Funkstep,126,0.5099999904632568,0.15714285714285714,0.3492063492063492,0.2167487684729064,44,236,971,82,aggregate
Headbanger,170,0.48000000417232513,0.14763231197771587,0.6235294117647059,0.23873873873873871,106,612,551,64,aggregate
Jazzstep,109,0.5049999952316284,0.10863509749303621,0.3577981651376147,0.16666666666666669,39,320,904,70,aggregate
Metalstep,61,0.48999999463558197,0.03939393939393939,0.21311475409836064,0.06649616368286444,13,317,955,48,aggregate
Wubzstep,336,0.48999999463558197,0.2923728813559322,0.6160714285714286,0.39655172413793105,207,501,496,129,aggregate
