playlist,support,threshold,precision,recall,f1,tp,fp,tn,fn,fold
Riddim - High Hat,20,0.5,0.0,0.0,0.0,0,0,392,20,1
Riddim - Deep Dub,7,0.05000000074505806,0.13333333333333333,0.2857142857142857,0.18181818181818182,2,13,392,5,1
Riddim - Vocals,29,0.05999999865889549,0.075,0.5172413793103449,0.13100436681222707,15,185,198,14,1
Riddim - Chill,44,0.11999999731779099,0.0,0.0,0.0,0,17,351,44,1
Riddim - GWN/BT Style,19,0.5,0.0,0.0,0.0,0,0,393,19,1
Riddim - Wubz,23,0.5,0.0,0.0,0.0,0,0,389,23,1
Riddim - Medium,102,0.3199999928474426,0.40458015267175573,0.5196078431372549,0.4549356223175966,53,78,232,49,1
Riddim - Womps,46,0.12999999523162842,0.12345679012345678,0.21739130434782608,0.15748031496062992,10,71,295,36,1
Riddim - Heavy,29,0.10999999940395355,0.2857142857142857,0.4827586206896552,0.358974358974359,14,35,348,15,1
Riddim - 4s,20,0.05000000074505806,0.08187134502923976,0.7,0.14659685863874344,14,157,235,6,1
Riddim - 8s,7,0.5,0.0,0.0,0.0,0,0,405,7,1
Clubstep,6,0.5,0.0,0.0,0.0,0,0,406,6,1
Deadly Dubstep,27,0.09000000357627869,0.1559633027522936,0.6296296296296297,0.25,17,92,293,10,1
Dubstep,71,0.30000001192092896,0.30357142857142855,0.4788732394366197,0.3715846994535519,34,78,263,37,1
Funkstep,35,0.11999999731779099,0.15625,0.2857142857142857,0.202020202020202,10,54,323,25,1
Headbanger,54,0.23000000417232513,0.2631578947368421,0.7407407407407407,0.3883495145631068,40,112,246,14,1
Jazzstep,25,0.10999999940395355,0.12121212121212122,0.48,0.1935483870967742,12,87,300,13,1
Metalstep,27,0.05000000074505806,0.06818181818181818,0.3333333333333333,0.11320754716981131,9,123,262,18,1
Wubzstep,110,0.15000000596046448,0.31864406779661014,0.8545454545454545,0.4641975308641975,94,201,101,16,1
Riddim - High Hat,18,0.1899999976158142,0.42857142857142855,0.16666666666666666,0.24,3,4,389,15,2
Riddim - Deep Dub,16,0.5,0.0,0.0,0.0,0,0,395,16,2
Riddim - Vocals,29,0.07000000029802322,0.075,0.41379310344827586,0.12698412698412698,12,148,234,17,2
Riddim - Chill,47,0.07999999821186066,0.11194029850746269,0.9574468085106383,0.20044543429844097,45,357,7,2,2
Riddim - GWN/BT Style,23,0.05000000074505806,0.0784313725490196,0.17391304347826086,0.10810810810810811,4,47,341,19,2
Riddim - Wubz,20,0.07999999821186066,0.02631578947368421,0.05,0.034482758620689655,1,37,354,19,2
